mean/gen/train/policy_gradient_loss,mean/gen/time/time_elapsed,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/explained_variance,mean/gen/train/n_updates,mean/gen/rollout/ep_len_mean,mean/gen/train/learning_rate,mean/disc/disc_entropy,mean/gen/time/iterations,mean/disc/global_step,mean/gen/train/entropy_loss,mean/gen/train/clip_range,mean/gen/train/loss,mean/gen/train/value_loss,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/gen/time/total_timesteps,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_mean,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
-0.005298105599649716,0.0,0.6533191204071045,0.010277505964040756,0.56640625,0.50390625,0.41543781757354736,14008.0,45.0,0.0001,0.6279447674751282,1.0,1751.0,-0.03204977929726738,0.2,0.3982592821121216,3.4010286850389093,256.0,0.55859375,896512.0,0.5,1235.0,256.0,0.024169921875,0.5625,1666.0,-16.081167720779778
-0.006541694736370118,0.0,0.6452929973602295,0.010344618931412697,0.55078125,0.46484375,0.49981701374053955,14016.0,45.0,0.0001,0.6334800720214844,1.0,1752.0,-0.021967515984215424,0.2,0.7471566796302795,2.2295600041979924,256.0,0.62109375,897024.0,0.5,1223.5,256.0,0.0185546875,0.5859375,1976.0,-15.029928342327475
-0.004588877192873042,0.0,0.6478665471076965,0.004664053209125996,0.59765625,0.49609375,0.505899041891098,14024.0,45.0,0.0001,0.6387552618980408,1.0,1753.0,-0.03193592474599427,0.2,0.2515224814414978,2.1382582306396216,256.0,0.60546875,897536.0,0.5,1275.0,256.0,0.0224609375,0.6015625,1760.0,-14.165960876494646
-0.003983208109275438,0.0,0.6252957582473755,0.005574672482907772,0.625,0.498046875,0.4764931797981262,14032.0,45.0,0.0001,0.625392496585846,1.0,1754.0,-0.024873630239198974,0.2,0.4956444799900055,1.8960689663654193,256.0,0.62890625,898048.0,0.5,1213.5,256.0,0.01416015625,0.626953125,1696.0,-13.250146478153765
-0.003956582233513473,0.0,0.6076838970184326,0.028878875076770782,0.62109375,0.462890625,0.29725533723831177,14040.0,45.0,0.0001,0.6316609978675842,1.0,1755.0,-0.028664217671575898,0.2,0.2966250777244568,1.5974865714088082,256.0,0.6953125,898560.0,0.5,1209.0,256.0,0.024169921875,0.658203125,1871.0,-12.753950866833328
-0.004120238638279261,0.0,0.6257835626602173,0.007142958231270313,0.6015625,0.4921875,0.49490123987197876,14048.0,45.0,0.0001,0.6398217678070068,1.0,1756.0,-0.02816200628058141,0.2,0.3210812509059906,2.545798049774021,256.0,0.6171875,899072.0,0.5,1275.0,256.0,0.019775390625,0.609375,1690.0,-12.328532936237753
-0.0030370813874469604,0.0,0.6300021409988403,0.0036610886454582214,0.5390625,0.447265625,0.49457961320877075,14056.0,45.0,0.0001,0.6326503157615662,1.0,1757.0,-0.0297216667131579,0.2,0.149702787399292,1.29122780248872,256.0,0.64453125,899584.0,0.5,1321.0,256.0,0.016845703125,0.591796875,1429.0,-11.433874052464962
-0.006021296576363966,0.0,0.6447800397872925,0.008856947533786297,0.51953125,0.44140625,0.5549996197223663,14064.0,45.0,0.0001,0.641040563583374,1.0,1758.0,-0.033289384251474985,0.2,0.21494510769844055,2.147372827399522,256.0,0.63671875,900096.0,0.5,1301.0,256.0,0.02197265625,0.578125,1624.0,-11.011366654969752
-0.008323498765093973,0.0,0.6144717335700989,0.013432624749839306,0.5703125,0.439453125,0.2229832410812378,14072.0,45.0,0.0001,0.6257493495941162,1.0,1759.0,-0.04266646847099764,0.2,3.0414340496063232,10.010358594357967,256.0,0.69140625,900608.0,0.5,1385.0,256.0,0.021728515625,0.630859375,1759.0,-11.260366305932402
-0.00449495371140074,0.0,0.643717885017395,0.008350370451807976,0.5,0.384765625,0.023731529712677002,14080.0,45.0,0.0001,0.6410567760467529,1.0,1760.0,-0.025746660320692172,0.2,0.35727664828300476,3.303396054310724,256.0,0.73046875,901120.0,0.5,1381.5,256.0,0.018798828125,0.615234375,1621.0,-11.317509705498814
