raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/entropy_loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss
4,616,141312,13,1.3113021850585938e-06,1.1521379929035901e-05,0.1,0.0,-1.6055452287197114,5.309895e-05,-93.18241409778595,73.70365142822266,340,0.00010285714285714286,295.32527313232424
5,586,143360,17,1.1324882507324219e-06,-1.9122334197163583e-05,0.1,0.0,-1.6055906116962433,3.990921e-06,-92.69916124939918,71.28003692626953,345,0.00010142857142857143,292.0937225341797
1,2888,145408,0,2.1457672119140625e-06,-4.4757872819900514e-05,0.1,0.0,-1.6055737912654877,1.7186947e-05,-92.71975303411483,75.1474380493164,350,0.0001,295.4222183227539
2,843,147456,4,1.0728836059570312e-06,-4.677264951169491e-05,0.1,0.0,-1.6055839836597443,7.368624e-06,-91.8304491341114,68.68173217773438,355,0.00010533333333333334,277.6302551269531
3,671,149504,9,1.0728836059570312e-06,-1.4466838911175728e-05,0.1,0.0,-1.6057568728923797,1.547538e-06,-91.14040333032608,68.84969329833984,360,0.00010400000000000001,277.605696105957
4,618,151552,13,1.430511474609375e-06,-1.5970063395798205e-05,0.1,0.0,-1.6057094275951385,5.5697164e-06,-90.16576160073281,68.69686126708984,365,0.00010266666666666666,276.36731719970703
5,589,153600,17,7.748603820800781e-07,-2.1629035472869874e-06,0.1,0.0,-1.6057815670967102,2.1256565e-06,-90.0405084335804,69.27702331542969,370,0.00010133333333333333,276.06432342529297
1,2562,155648,0,8.344650268554688e-07,-2.105768071487546e-05,0.1,0.0,-1.605762356519699,4.4993067e-06,-90.0079538011551,67.56842041015625,375,0.0001,275.16576385498047
2,810,157696,5,1.5497207641601562e-06,-0.00011152717052027583,0.1,0.0,-1.6056553781032563,4.7112466e-05,-90.1337520802021,68.80338287353516,380,0.000105,281.12130584716795
3,673,159744,9,7.152557373046875e-07,-0.00031687852460891006,0.1,0.0,-1.605691170692444,8.0848375e-05,-90.29272756338119,69.81830596923828,385,0.00010375,281.92698669433594
4,610,161792,13,4.172325134277344e-07,-0.00017832268495112657,0.1,0.0,-1.6056296229362488,0.0001010072,-90.47785692214966,68.92652130126953,390,0.00010250000000000001,282.3897216796875
5,585,163840,17,1.3113021850585938e-06,-3.4420983865857124e-05,0.1,0.0,-1.605328196287155,1.2107717e-05,-90.51143077015877,70.77565002441406,395,0.00010125,279.2906066894531
1,2953,165888,0,1.0132789611816406e-06,-5.662166513502598e-05,0.1,0.0,-1.6052727162837983,9.475712e-06,-90.35900505661965,67.91447448730469,400,0.0001,278.076481628418
2,846,167936,4,4.172325134277344e-07,-3.5391864366829394e-05,0.1,0.0,-1.605467039346695,5.76023e-06,-91.58760090827941,79.48584747314453,405,0.00010470588235294118,312.6621948242188
3,681,169984,9,4.172325134277344e-07,-0.00019688163883984088,0.1,0.0,-1.6056715846061707,4.921877e-05,-92.93565221786498,79.90021514892578,410,0.00010352941176470589,313.53809356689453
4,617,172032,13,5.960464477539062e-07,-0.00011283408384770155,0.1,0.0,-1.6057375431060792,4.551749e-05,-94.04744424819947,77.74242401123047,415,0.00010235294117647059,307.2479553222656
5,587,174080,17,4.172325134277344e-07,-0.0001710659358650446,0.1,0.0,-1.6058089196681977,4.724873e-05,-94.18476589560508,75.9501953125,420,0.0001011764705882353,308.3815719604492
1,2368,176128,0,4.172325134277344e-07,-6.677522324025631e-05,0.1,0.0,-1.6057371079921723,2.789902e-05,-93.90884292006493,74.67377471923828,425,0.0001,306.735774230957
2,814,178176,5,4.76837158203125e-07,-6.854869425296784e-05,0.1,0.0,-1.6056082606315614,3.6950514e-06,-95.95591988801957,87.90090942382812,430,0.00010444444444444444,357.194189453125
3,670,180224,9,2.384185791015625e-07,-0.00021794976200908422,0.1,0.0,-1.6056109488010406,3.9507693e-05,-97.77534690499306,89.01956176757812,435,0.00010333333333333334,354.145246887207
4,619,182272,13,4.76837158203125e-07,-5.0369696691632274e-05,0.1,0.0,-1.6057983815670014,6.128481e-06,-99.58490470051765,86.40523529052734,440,0.00010222222222222223,351.9319793701172
5,589,184320,17,1.1920928955078125e-07,-0.00016005565994419156,0.1,0.0,-1.6059574782848358,4.2896485e-05,-100.11512713551521,91.27700805664062,445,0.00010111111111111112,368.98646545410156
1,2788,186368,0,0.0,-0.0001360114780254662,0.1,0.0,-1.605946320295334,4.1159365e-05,-100.6435566163063,89.15486907958984,450,0.0001,363.38887176513674
2,814,188416,5,1.7881393432617188e-07,-7.403258932754397e-05,0.1,0.0,-1.6058495581150054,3.0122581e-05,-102.61253448009491,100.57810974121094,455,0.00010421052631578949,404.6730194091797
3,673,190464,9,4.76837158203125e-07,-0.00015818263636901975,0.1,0.0,-1.6058850407600402,2.7922506e-05,-103.77711539387703,102.39859008789062,460,0.00010315789473684211,403.96434173583987
4,618,192512,13,1.1920928955078125e-07,-2.6021967642009258e-05,0.1,0.0,-1.6061528623104095,4.16307e-06,-105.62699031829834,104.0867691040039,465,0.00010210526315789474,412.09881591796875
5,589,194560,17,4.76837158203125e-07,-3.7973513826727867e-06,0.1,0.0,-1.6062692761421205,1.4008256e-06,-106.26547466993333,102.4048843383789,470,0.00010105263157894738,418.0408508300781
1,2856,196608,0,2.980232238769531e-07,-5.5334623903036116e-05,0.1,0.0,-1.6063868820667266,2.4155015e-06,-106.9318103659153,103.86896514892578,475,0.0001,416.3580078125
2,815,198656,5,1.7881393432617188e-07,-6.427783519029618e-05,0.1,0.0,-1.6065176486968995,3.7652208e-06,-109.43464651703835,120.66117095947266,480,0.00010400000000000001,486.41072540283204
