mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_acc,mean/gen/train/explained_variance,mean/gen/train/clip_fraction,mean/disc/disc_acc_gen,mean/gen/time/iterations,mean/disc/disc_proportion_expert_pred,mean/disc/n_generated,mean/disc/global_step,mean/gen/train/loss,mean/gen/train/clip_range,mean/disc/disc_loss,mean/gen/time/time_elapsed,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/time/fps,mean/gen/rollout/ep_len_mean,mean/disc/n_expert,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_wrapped_mean
416.0,0.5,0.640625,-0.00486164780886611,0.0028033528942614794,21.047391005791724,26624.0,0.0001,0.716796875,-0.00015676021575927734,0.014892578125,0.79296875,1.0,0.423828125,256.0,52.0,20.99953842163086,0.2,0.5669139623641968,0.0,-0.36688637209590524,-538.5,2585.0,45.0,256.0,0.5100852251052856,-73.70396167081547
424.0,0.5,0.6640625,-0.012714865573798306,0.004334446042776108,5.882576351054013,27136.0,0.0001,0.787109375,-6.16312026977539e-05,0.029052734375,0.91015625,1.0,0.376953125,256.0,53.0,1.8522751331329346,0.2,0.48577356338500977,0.0,-0.2316012397641316,-545.0,2914.0,45.0,256.0,0.499991238117218,-69.17186011981917
432.0,0.5,0.65625,-0.004014523568912409,0.0029489099979400635,9.02147194929421,27648.0,0.0001,0.76171875,-0.000141143798828125,0.016357421875,0.8671875,1.0,0.39453125,256.0,54.0,3.531778335571289,0.2,0.4994569420814514,0.0,-0.2757267390843481,-546.5,2723.0,45.0,256.0,0.5127056837081909,-64.397369626218
440.0,0.5,0.71484375,-0.0098347219027346,0.005793537478893995,6.170787004753947,28160.0,0.0001,0.806640625,3.0040740966796875e-05,0.031005859375,0.8984375,1.0,0.408203125,256.0,55.0,1.2809385061264038,0.2,0.4631156325340271,0.0,-0.17539556988049299,-546.5,2929.0,45.0,256.0,0.5102356672286987,-60.24345712587703
448.0,0.5,0.63671875,-0.00657886007684283,0.005804767832159996,12.493510223925114,28672.0,0.0001,0.740234375,3.5703182220458984e-05,0.018798828125,0.84375,1.0,0.396484375,256.0,56.0,3.5245141983032227,0.2,0.5172421932220459,0.0,-0.2771345709916204,-547.0,2479.0,45.0,256.0,0.5191846489906311,-56.92453967831563
456.0,0.5,0.61328125,-0.0035571061380323954,0.003992136567831039,10.606648260727525,29184.0,0.0001,0.755859375,7.092952728271484e-05,0.02099609375,0.8984375,1.0,0.357421875,256.0,57.0,2.93304443359375,0.2,0.522337794303894,0.0,-0.19495924416696653,-547.0,2795.0,45.0,256.0,0.5280095338821411,-53.49646412121598
464.0,0.5,0.6796875,-0.006650008559518028,0.01693735271692276,11.679835718125105,29696.0,0.0001,0.796875,9.131431579589844e-05,0.03173828125,0.9140625,1.0,0.3828125,256.0,58.0,2.2397687435150146,0.2,0.463051974773407,0.0,-0.26010096771642566,-554.5,2587.0,45.0,256.0,0.4991997182369232,-50.66880444217706
472.0,0.5,0.671875,-0.007378646878350992,0.004107618238776922,17.94055184163153,30208.0,0.0001,0.779296875,6.556510925292969e-05,0.021484375,0.88671875,1.0,0.392578125,256.0,59.0,8.661938667297363,0.2,0.46434617042541504,0.0,-0.23620645207120106,-554.5,2644.0,45.0,256.0,0.48794183135032654,-48.97626754111378
480.0,0.5,0.65625,-0.015304094995371997,0.009414947591722012,13.2225586399436,30720.0,0.0001,0.75390625,0.00014388561248779297,0.044677734375,0.8515625,1.0,0.40234375,256.0,60.0,10.232198715209961,0.2,0.5206876993179321,0.0,-0.31018779368605465,-554.5,1821.0,45.0,256.0,0.5112597942352295,-46.765950662824324
488.0,0.5,0.62890625,-0.006851392266980838,0.003704301081597805,12.400662953034043,31232.0,0.0001,0.76171875,0.0001564621925354004,0.01513671875,0.89453125,1.0,0.3671875,256.0,61.0,3.5475285053253174,0.2,0.4930264353752136,0.0,-0.15192193057737313,-556.0,2740.0,45.0,256.0,0.5064546465873718,-45.12518886255566
