raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/policy_gradient_loss,raw/gen/train/approx_kl,raw/gen/train/clip_fraction,raw/gen/train/explained_variance,raw/gen/train/entropy_loss,raw/gen/train/clip_range
19,421,434176,2,143.26405334472656,1050,3.4375e-05,565.9061508178711,-122.30420444522518,-0.00012767495354637504,7.5865246e-06,0.0,2.384185791015625e-07,-1.605882316827774,0.1
36,338,438272,3,139.95582580566406,1060,3.375e-05,554.1632385253906,-120.39131656356854,-6.156356539577246e-05,4.1941385e-06,0.0,-1.1920928955078125e-07,-1.6058740496635437,0.1
53,308,442368,4,133.1630859375,1070,3.3125e-05,535.6580871582031,-117.66924519521301,-0.0005665262811817229,0.00019551977,0.0,1.1920928955078125e-07,-1.6049891799688338,0.1
69,293,446464,5,142.3348846435547,1080,3.25e-05,573.6880462646484,-119.44568785234237,-0.00029884828836657107,7.6556826e-05,0.0,1.1920928955078125e-07,-1.6035853624343872,0.1
86,284,450560,6,139.37586975097656,1090,3.1875e-05,574.5532669067383,-121.78825155402126,-4.139525117352605e-05,2.0896405e-06,0.0,1.1920928955078125e-07,-1.603009331226349,0.1
103,278,454656,7,133.02359008789062,1100,3.125000000000001e-05,532.6745613098144,-118.41501169678348,-0.00015773218474350869,3.808373e-05,0.0,0.0,-1.602514237165451,0.1
119,274,458752,8,141.55186462402344,1110,3.0625e-05,560.2874084472656,-118.64674540733743,-6.015137332724407e-05,5.232854e-06,0.0,1.1920928955078125e-07,-1.601805117726326,0.1
2,1501,462848,1,142.66250610351562,1120,3e-05,570.5199264526367,-121.07284079135803,-7.65883014537394e-05,1.2955759e-05,0.0,0.0,-1.6021828293800353,0.1
19,422,466944,2,152.19451904296875,1130,3.408333333333333e-05,617.1925994873047,-121.97897085053438,-6.617844046559185e-05,1.1690136e-05,0.0,0.0,-1.602698665857315,0.1
35,342,471040,3,148.1890411376953,1140,3.35e-05,602.6594024658203,-121.02217849399895,-8.678879239596427e-05,2.5336398e-05,0.0,-2.384185791015625e-07,-1.602431857585907,0.1
52,311,475136,4,150.7761688232422,1150,3.291666666666666e-05,607.1408157348633,-120.2529549357295,-0.00011686918151099235,1.8483319e-05,0.0,-1.1920928955078125e-07,-1.6016372174024582,0.1
69,296,479232,5,149.80531311035156,1160,3.233333333333333e-05,594.8699234008789,-119.84430692300201,-0.00010417178564239293,2.3171466e-05,0.0,-1.1920928955078125e-07,-1.601599770784378,0.1
85,286,483328,6,157.9526824951172,1170,3.175e-05,614.0663696289063,-121.14929232247174,-5.1916163647547366e-05,1.8030361e-05,0.0,-3.5762786865234375e-07,-1.6023737996816636,0.1
102,280,487424,7,143.40411376953125,1180,3.1166666666666674e-05,575.2934448242188,-118.26246126782208,-0.00014510199252981693,4.1871637e-05,0.0,-2.384185791015625e-07,-1.6019707083702088,0.1
118,275,491520,8,154.55490112304688,1190,3.058333333333333e-05,609.1753372192383,-120.08852099100127,-5.0336914137005805e-05,1.1556811e-05,0.0,-2.384185791015625e-07,-1.601172110438347,0.1
2,1486,495616,1,160.06593322753906,1200,3e-05,620.5330856323242,-122.10536595044715,-0.00011082487180829048,1.853559e-05,0.0,-2.384185791015625e-07,-1.6007600277662277,0.1
19,424,499712,2,192.06166076660156,1210,3.3828125000000004e-05,757.1904174804688,-131.81443064824737,-0.0003504034772049636,9.2273054e-05,0.0,1.7881393432617188e-07,-1.599338099360466,0.1
36,341,503808,3,191.26673889160156,1220,3.328125e-05,785.1108428955079,-140.6186344973487,-0.00010678698890842497,2.060835e-05,0.0,0.0,-1.5978756964206695,0.1
52,311,507904,4,179.31040954589844,1230,3.2734375e-05,725.5962448120117,-137.5100698691141,-0.0001368772573187016,2.0822e-05,0.0,0.0,-1.5968718439340592,0.1
69,296,512000,5,175.71461486816406,1240,3.21875e-05,708.7550720214844,-134.65477377485718,-0.00014632477541454136,1.789302e-05,0.0,1.1920928955078125e-07,-1.5957729905843734,0.1
85,286,516096,6,190.29461669921875,1250,3.1640625e-05,754.1522872924804,-137.55611135694664,-0.0001271662942599505,1.1167183e-05,0.0,0.0,-1.5951811969280243,0.1
102,280,520192,7,190.23382568359375,1260,3.109375e-05,759.5010635375977,-138.39081065790728,-0.00011782289075199515,8.165283e-06,0.0,1.1920928955078125e-07,-1.594646194577217,0.1
118,276,524288,8,177.9939422607422,1270,3.0546875e-05,714.1919052124024,-135.19233892485732,-8.82186635863036e-05,9.811236e-06,0.0,-1.1920928955078125e-07,-1.5941257178783417,0.1
2,1562,528384,1,180.1333770751953,1280,3e-05,724.2783264160156,-133.76635326921473,-9.670190629549325e-05,8.528892e-06,0.0,5.960464477539063e-08,-1.5935528963804244,0.1
19,429,532480,2,127.98139953613281,1290,3.360294117647059e-05,515.5220489501953,-124.48911205175332,-7.064564561005681e-05,7.1252434e-06,0.0,5.960464477539063e-08,-1.5935349762439728,0.1
35,343,536576,3,126.67654418945312,1300,3.3088235294117644e-05,512.9691436767578,-117.26034705418395,-0.00011523489374667406,1.33147405e-05,0.0,0.0,-1.5933021396398543,0.1
52,312,540672,4,129.4396514892578,1310,3.2573529411764706e-05,520.5852401733398,-117.64584135693498,-8.65545473061502e-05,1.2099321e-05,0.0,1.7881393432617188e-07,-1.5929599702358246,0.1
68,297,544768,5,119.90614318847656,1320,3.205882352941177e-05,483.47871017456055,-114.86557827691082,-0.0001479221391491592,3.7291044e-05,0.0,0.0,-1.5934955835342408,0.1
85,287,548864,6,125.02410888671875,1330,3.1544117647058824e-05,490.87719345092773,-113.50252853590064,-0.00012477357813622802,4.440792e-05,0.0,0.0,-1.5947591245174408,0.1
101,281,552960,7,125.3624267578125,1340,3.102941176470588e-05,500.63428421020507,-113.73413698587567,-0.00036897370009683075,8.6418775e-05,0.0,1.1920928955078125e-07,-1.5941649317741393,0.1
118,276,557056,8,118.97747802734375,1350,3.0514705882352942e-05,490.60291290283203,-114.39697638959159,-0.00037770909839309754,0.00011257075,0.0,0.0,-1.5916010946035386,0.1
